1907,3307,1844,3301,1847,3275,1910,3279
993,3089,957,3080,960,3069,998,3077
1204,2895,1204,2882,1246,2882,1246,2895
1811,2243,1799,2230,1817,2214,1829,2226
1496,2167,1493,2093,1912,2072,1915,2147
756,1991,756,1972,810,1972,810,1991
1611,2043,1536,2033,1547,1935,1625,1941
1874,1957,1867,1932,1879,1928,1886,1953
1682,2033,1661,1934,1865,1893,1886,1991
1781,1858,1781,1823,1959,1823,1959,1858
1783,1858,1255,1853,1258,1811,1786,1817
1685,1764,1069,1757,1072,1715,1688,1722
1819,1700,1819,1682,1852,1682,1852,1700
1783,1678,1780,1658,1901,1641,1904,1665
417,1463,417,1422,527,1422,527,1463
2089,1396,506,1374,509,1323,2092,1345
2034,1304,416,1272,419,1225,2037,1254
2070,1205,411,1184,414,1135,2073,1155
2082,1116,413,1086,416,1034,2085,1064
2088,1021,509,990,512,943,2091,974
1727,822,1727,785,1897,785,1897,822
1733,826,514,804,517,761,1736,783
1512,533,1010,525,1013,460,1515,468
