2045,3147,2033,3134,2116,3077,2127,3094
1910,3102,1910,3052,2054,3052,2054,3102
1216,3092,1180,3064,1232,2999,1268,3027
441,3016,205,3010,208,2953,444,2957
979,3121,937,2891,1182,2847,1223,3078
1320,3143,1214,2918,1375,2845,1483,3070
1402,2887,1389,2887,1389,2877,1402,2877
1906,2956,1906,2845,2019,2845,2019,2956
1281,2878,1281,2826,1372,2826,1372,2878
1775,2899,1356,2878,1360,2795,1779,2817
1222,3165,128,3128,141,2717,1235,2755
702,2726,496,2717,499,2681,705,2685
2077,2662,2046,2650,2051,2637,2082,2644
2079,2698,2067,2663,2258,2593,2271,2628
1900,2599,1890,2599,1890,2593,1900,2593
1793,2704,438,2691,441,2545,1796,2558
1286,2659,523,2653,526,2583,1289,2592
1122,2606,1122,2593,1149,2593,1149,2606
965,2608,965,2590,1009,2590,1009,2608
1167,2599,1162,2595,1167,2583,1179,2595
454,2621,207,2617,210,2558,457,2563
2174,2590,2168,2579,2204,2557,2210,2568
1998,2539,1998,2481,2097,2481,2097,2539
2013,2441,1979,2424,1991,2400,2024,2418
2173,2409,2152,2389,2162,2383,2179,2399
961,2456,187,2432,192,2304,965,2327
618,2412,618,2359,876,2359,876,2412
1881,2336,1875,2313,2000,2281,2004,2301
2247,2378,2018,2300,2031,2259,2261,2338
369,1988,366,1971,386,1969,389,1982
1438,1953,1438,1904,1693,1904,1693,1953
1414,1930,1414,1906,1463,1906,1463,1930
1350,1950,521,1943,524,1893,1353,1901
1213,1877,1208,1867,1220,1861,1226,1873
2203,1972,1632,1965,1635,1828,2206,1832
1644,1887,1547,1874,1551,1839,1648,1852
1487,1886,1234,1882,1237,1841,1490,1844
1128,1870,1125,1849,1177,1844,1180,1864
1114,1893,617,1882,620,1832,1117,1844
594,1882,381,1877,384,1830,597,1832
803,1769,210,1760,213,1700,806,1709
1103,1375,1082,1370,1085,1358,1106,1363
1453,1410,940,1391,946,1217,1459,1236
855,911,852,813,1338,803,1341,903
1316,904,1313,806,1575,800,1578,898
654,425,432,420,435,393,657,397
1861,379,1858,337,2056,334,2059,375
2049,387,2043,328,2162,317,2168,375
1740,390,1735,331,1849,321,1855,379
2356,49,2356,37,2386,37,2386,49
