2064,3423,2064,3379,2414,3379,2414,3423
1879,3425,115,3414,118,3368,1882,3378
851,3318,117,3314,120,3267,854,3271
1374,3065,1366,3061,1369,3056,1377,3061
1434,3067,1431,3061,1449,3055,1452,3059
1483,3056,1479,3051,1497,3042,1500,3046
1529,3035,1524,3030,1547,3013,1551,3017
1375,3071,1363,3029,1523,2992,1533,3035
2074,3033,1846,3021,1850,2938,2079,2950
2083,2960,2071,2948,2083,2937,2095,2948
2104,2934,2104,2915,2127,2915,2127,2934
1778,2944,1778,2900,1861,2900,1861,2944
2130,2902,2130,2897,2139,2897,2139,2902
2121,2887,2116,2869,2156,2864,2159,2881
1416,2872,1402,2866,1407,2855,1420,2861
1247,2925,1220,2853,1262,2840,1290,2912
1241,2845,1237,2840,1247,2833,1252,2837
1312,2716,1312,2694,1333,2694,1333,2716
1826,2713,1813,2700,1826,2687,1840,2700
1795,2706,1786,2690,1798,2679,1810,2700
1450,2716,1365,2703,1378,2620,1464,2633
1689,2999,1631,2545,2219,2473,2277,2928
1805,2903,1792,2890,1805,2877,1819,2890
2138,2805,2132,2799,2138,2793,2144,2799
442,2688,439,2560,981,2555,984,2682
651,2641,631,2622,654,2602,673,2621
572,1640,336,1635,339,1588,575,1591
682,1541,336,1534,339,1477,685,1483
2252,1445,336,1432,339,1375,2255,1388
990,1331,224,1325,227,1274,993,1278
1685,1204,875,1198,878,1128,1688,1133
1381,951,1381,914,1583,914,1583,951
1296,958,1132,954,1135,904,1299,908
208,954,208,904,801,904,801,954
896,746,202,740,205,694,899,697
1646,596,1646,553,2196,553,2196,596
1099,555,202,550,205,501,1102,508
1536,438,1536,387,1768,387,1768,438
496,365,496,324,639,324,639,365
207,366,207,324,411,324,411,366
813,222,139,217,142,168,816,175
1129,230,1126,157,1491,150,1494,223
1891,144,1891,132,1907,132,1907,144
2438,301,660,207,672,-18,2452,77
