2020,3426,2020,3382,2369,3382,2369,3426
1828,3425,76,3414,78,3371,1831,3381
2477,3406,2438,3390,2444,3371,2487,3385
806,3317,77,3314,80,3270,809,3274
2032,3026,1806,3021,1809,2941,2035,2945
1815,2954,1795,2950,1803,2916,1824,2922
2153,2871,1918,2861,1922,2763,2158,2774
1961,2842,1952,2833,1958,2828,1965,2836
2034,2814,2034,2796,2061,2796,2061,2814
2080,2777,2080,2766,2105,2766,2105,2777
1737,3017,1558,2771,1819,2589,1998,2834
1739,2809,1728,2792,1755,2770,1769,2789
2052,2688,1982,2659,2001,2615,2073,2643
1982,2647,1982,2627,2001,2627,2001,2647
1936,2644,1930,2625,1964,2617,1968,2637
1786,2704,1763,2637,1928,2577,1952,2644
312,2805,307,2456,1104,2447,1108,2795
731,2665,731,2639,772,2639,772,2665
739,2639,739,2628,752,2628,752,2639
775,2690,769,2584,915,2577,921,2682
785,2723,518,2715,524,2563,791,2573
752,2586,748,2582,752,2579,755,2582
755,2583,751,2579,758,2573,763,2577
521,1638,284,1630,287,1586,524,1591
284,1537,281,1478,625,1475,628,1532
2207,1434,280,1430,283,1373,2210,1377
321,1345,321,1335,341,1335,341,1345
339,1329,165,1322,168,1271,342,1278
824,1195,821,1128,1631,1122,1634,1189
1329,942,1329,905,1530,905,1530,942
1082,949,1082,900,1248,900,1248,949
147,949,147,900,743,900,743,949
147,740,144,697,284,689,287,733
1593,578,1593,542,2147,542,2147,578
141,546,138,499,915,496,918,540
1481,422,1481,372,1712,372,1712,422
432,356,432,320,573,320,573,356
141,360,141,318,350,318,350,360
1077,210,1074,166,1429,160,1432,207
77,211,74,165,751,160,754,207
1399,157,1399,151,1412,151,1412,157
2365,246,1608,222,1611,124,2368,147
1409,147,1390,141,1393,135,1412,141
622,178,620,40,1822,29,1825,166
