1182,3242,1182,3236,1195,3236,1195,3242
1885,3232,1882,3149,2083,3144,2086,3228
948,3172,885,3166,888,3130,952,3137
131,3137,131,3084,375,3084,375,3137
1295,3257,1264,3045,1410,3022,1442,3236
1161,3314,936,3207,1049,2979,1272,3084
882,3252,702,3229,730,2984,916,3006
1343,2978,1320,2956,1340,2937,1362,2959
1255,2974,1255,2933,1299,2933,1299,2974
758,2950,748,2940,754,2934,764,2944
770,3028,760,2931,1174,2890,1185,2987
1377,2979,1377,2927,1837,2927,1837,2979
514,2979,514,2921,721,2921,721,2979
515,2976,122,2972,125,2914,518,2918
126,2725,126,2667,1029,2667,1029,2725
383,2701,371,2689,381,2677,393,2689
122,2476,119,2417,1043,2410,1046,2468
138,2017,135,1874,2223,1861,2226,2004
245,1972,245,1921,374,1921,374,1972
128,1813,125,1754,787,1750,790,1808
1509,1462,879,1433,885,1246,1520,1276
1811,1184,1803,1184,1803,1179,1811,1179
1806,1166,1800,1166,1800,1160,1806,1160
1796,1178,1776,1119,1890,1081,1909,1140
822,881,819,775,1590,770,1593,877
1141,730,1141,719,1256,719,1256,730
1071,722,1058,718,1061,713,1074,718
1100,721,1100,715,1125,715,1125,721
1037,706,1037,700,1049,700,1049,706
1192,703,1192,693,1210,693,1210,703
1264,747,1258,712,1405,678,1411,711
1168,661,1165,651,1193,642,1196,652
1429,473,1422,468,1426,464,1433,468
995,420,995,414,1006,414,1006,420
1211,423,1211,400,1259,400,1259,423
1152,424,1152,398,1195,398,1195,424
1411,408,1407,391,1433,385,1438,398
1398,391,1395,381,1413,375,1416,385
1454,375,1387,369,1390,348,1457,354
1100,375,1100,348,1132,348,1132,375
1275,379,1269,344,1316,337,1320,372
357,373,357,340,599,340,599,373
1028,356,983,354,986,337,1031,343
1380,356,1377,335,1448,332,1451,351
1374,334,1374,324,1411,324,1411,334
1207,335,1183,319,1193,308,1216,325
1410,318,1410,308,1433,308,1433,318
1383,315,1380,309,1402,305,1405,310
1356,302,1353,289,1426,283,1429,296
979,302,979,283,1013,283,1013,302
1864,319,1864,277,2071,277,2071,319
1827,329,1790,310,1814,267,1851,286
1337,289,1337,278,1357,278,1357,289
1736,319,1736,270,1791,270,1791,319
2061,321,2058,268,2183,262,2186,315
2130,300,2130,289,2140,289,2140,300
1325,274,1325,268,1337,268,1337,274
995,283,991,278,1006,262,1012,268
1107,242,1107,232,1125,232,1125,242
