2035,3431,2035,3389,2390,3389,2390,3431
1850,3433,91,3426,94,3382,1853,3386
97,3328,97,3284,732,3284,732,3328
2011,3078,2008,3072,2031,3063,2034,3069
2084,3043,2081,3038,2094,3030,2099,3035
1819,3034,1816,2958,2043,2951,2046,3027
2251,3106,1607,3084,1628,2487,2272,2509
2052,2962,2017,2929,2067,2885,2097,2914
2141,2882,1721,2860,1739,2588,2159,2614
2058,2813,2014,2793,2028,2766,2071,2787
1838,2774,1838,2764,1852,2764,1852,2774
2078,2594,2068,2588,2071,2584,2081,2590
1739,2655,1727,2638,1816,2571,1828,2588
1829,2582,1826,2578,1837,2573,1840,2578
1868,2572,1865,2560,1901,2553,1904,2565
1999,2563,1957,2557,1960,2552,2002,2557
999,2528,994,2524,1003,2516,1008,2521
1095,2654,371,2642,374,2473,1098,2484
725,1765,719,1660,940,1642,946,1748
540,1648,299,1642,302,1596,543,1599
573,1590,570,1585,577,1580,583,1585
305,1549,302,1490,642,1486,645,1544
950,1512,950,1489,999,1489,999,1512
2226,1487,288,1448,291,1343,2229,1382
860,1371,173,1344,176,1257,865,1287
838,1205,838,1135,1653,1135,1653,1205
1343,955,1343,919,1548,919,1548,955
1096,963,1096,912,1266,912,1266,963
164,960,164,910,761,910,761,960
164,751,164,704,756,704,756,751
1607,596,1604,552,2157,548,2160,591
162,556,162,507,1161,507,1161,556
1724,437,1494,434,1497,384,1727,390
448,366,448,330,589,330,589,366
362,372,157,371,161,324,365,328
1093,222,1093,178,1446,178,1446,222
93,225,90,173,767,168,770,220
1956,171,1956,160,1974,160,1974,171
2394,285,610,203,622,-7,2404,77
