2023,3435,2023,3391,2375,3391,2375,3435
84,3436,81,3393,1833,3388,1836,3435
719,3341,84,3333,87,3280,722,3290
1810,3040,1810,2959,2037,2959,2037,3040
1837,2988,1837,2983,1846,2983,1846,2988
2098,2826,2098,2815,2137,2815,2137,2826
567,2821,414,2818,417,2760,570,2764
2140,3045,1626,2922,1685,2682,2199,2805
612,2828,606,2685,932,2674,937,2817
1770,2764,1728,2728,1785,2665,1827,2701
1818,2701,1797,2691,1809,2666,1831,2679
2044,2647,2044,2636,2058,2636,2058,2647
1815,2690,1803,2637,1924,2609,1936,2662
524,1652,290,1648,293,1598,527,1602
630,1548,290,1544,293,1493,633,1497
290,1445,290,1392,2205,1392,2205,1445
175,1338,175,1287,780,1287,780,1338
828,1208,825,1138,1639,1135,1642,1202
1335,952,1335,917,1535,917,1535,952
1087,964,1087,913,1253,913,1253,964
155,962,152,913,775,908,777,958
153,754,150,707,694,702,697,749
2147,596,1594,591,1597,550,2150,555
153,559,150,512,946,507,949,556
1488,436,1488,387,1716,387,1716,436
153,374,153,330,356,330,356,374
1087,223,1085,179,1436,175,1439,219
86,226,83,176,760,169,763,220
1411,184,1381,172,1392,144,1421,156
1135,166,1135,153,1155,153,1155,166
1819,143,1819,113,1861,113,1861,143
2396,283,608,225,614,4,2402,62
1712,163,1712,153,1722,153,1722,163
