1590,2552,1578,2540,1593,2527,1604,2537
1651,1999,793,1953,804,1748,1663,1794
1558,1909,1431,1880,1442,1844,1564,1873
227,1873,175,1822,261,1736,313,1787
1519,1825,1196,1805,1202,1694,1525,1714
1360,1732,1355,1728,1363,1719,1369,1725
799,1707,796,1556,1999,1536,2002,1687
746,1406,501,1401,504,1348,749,1354
2051,1155,499,1145,502,1081,2054,1091
1402,1050,1402,1039,1424,1039,1424,1050
1977,892,386,885,389,826,1980,832
504,764,501,700,2158,696,2161,761
593,624,388,620,391,568,596,572
1179,376,1176,319,1366,315,1369,373
