1432,2234,1429,2187,1793,2183,1796,2229
1562,2131,1562,2105,1589,2105,1589,2131
2084,2145,1583,2139,1586,2086,2087,2092
1553,2136,1388,2129,1391,2088,1556,2093
842,1640,378,1636,381,1594,845,1598
2102,1559,478,1543,481,1493,2105,1512
1871,1364,902,1348,905,1299,1874,1315
744,1350,481,1344,484,1301,746,1306
1892,1170,381,1152,384,1106,1895,1123
2108,1081,377,1055,380,1002,2111,1028
818,1052,806,1040,818,1027,830,1038
2073,980,389,960,392,910,2076,930
2103,884,386,860,389,810,2106,834
2051,803,2048,784,2075,780,2079,799
2105,791,1777,781,1780,730,2108,740
1386,775,1386,733,1680,733,1680,775
1192,773,487,767,490,716,1195,721
1133,531,1133,479,1368,479,1368,531
1227,400,1227,353,1280,353,1280,400
1414,401,1414,350,1467,350,1467,401
1036,398,1036,347,1095,347,1095,398
